"id","Year","Age","trackid","start_time","DeploymentID","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear"
"waal_3299",2016,28,273,"2016-01-24 08:29:00","BS30446_2016","Male",4.260416667,155.3170111,1986.775705,10,0.105392157,0.703431373,0.191176471,0.78630137,5.04546826118101,7.59426835495227,-47.03034,-45.51215,1.51819,3.13,-3.6,-0.660901981,1,1,"no attempt"
"waal_3402",2011,40,499,"2011-02-19 05:02:00","BS4687_2011","Male",7.135416667,1186.341636,4345.364185,19,0.205839416,0.37810219,0.416058394,0.476102941,7.0786295954127,8.37686485121811,-54.89479,-45.85577,9.03902,0.87,4.5,2.135998652,1,0,"no attempt"
"waal_3402",2013,42,45,"2013-02-02 13:35:00","BS4687_2013","Male",5.708333333,1121.808819,3015.330097,14,0.413162706,0.223034735,0.363802559,0.380062305,7.02269767851597,8.01146458807704,-48.67225,-43.69073,4.98152,2.84,-0.4,2.135998652,1,0,"no attempt"
"waal_3402",2013,42,46,"2013-02-12 10:32:00","BS4687_2013","Male",10.69791667,1945.607193,5810.931278,33,0.393762183,0.271929825,0.334307992,0.448553055,7.57332938882505,8.66749612581347,-61.63254,-46.04392,15.58862,2.84,-0.4,2.135998652,1,0,"no attempt"
"waal_3733",2013,35,549,"2013-02-02 08:27:00","BS5682_2013","Male",6.166666667,776.9112239,3228.213219,18,0.333333333,0.382402707,0.284263959,0.573604061,6.6553260888851,8.07968408018242,-48.35452,-44.66704,3.68748,2.84,-0.4,-1.44292959,1,1,"no attempt"
"waal_3733",2013,35,550,"2013-02-12 09:14:00","BS5682_2013","Male",11.05208333,2309.287506,11179.94254,12,0.093396226,0.271698113,0.63490566,0.299687825,7.74469431697772,9.321876607161,-64.2215,-45.38912,18.83238,2.84,-0.4,-1.44292959,1,1,"no attempt"
"waal_3733",2013,35,548,"2013-01-21 08:31:00","BS5682_2013","Male",3.125,177.2345943,933.3735666,11,0.401337793,0.471571906,0.127090301,0.787709497,5.17747424654322,6.83880551363753,-47.08168,-46.32917,0.752510000000001,0.71,-0.1,-1.44292959,1,1,"no attempt"
"waal_3733",2018,40,439,"2018-01-18 06:23:00","BS5682_2018","Male",13.89583333,1262.122746,5627.707505,53,0.399849962,0.36684171,0.233308327,0.61125,7.1405503014459,8.63545744549068,-50.57428,-46.195,4.37928,2.72,1.8,-1.44292959,1,1,"no attempt"
"waal_3735",2013,35,38,"2013-04-04 09:13:00","BS5688_2013","Male",2.71875,185.4879534,679.9292306,11,0.463601533,0.413793103,0.122605364,0.771428571,5.22298993869882,6.52198872010716,-46.3543,-45.18524,1.16906,-0.07,0.4,-0.642345938,1,1,"no attempt"
"waal_3735",2013,35,37,"2013-03-25 09:55:00","BS5688_2013","Male",4.979166667,823.4003007,2442.404719,16,0.305439331,0.353556485,0.341004184,0.509036145,6.71344247452884,7.80073837353475,-46.35896,-41.59854,4.76042,2.31,2.5,-0.642345938,1,1,"no attempt"
"waal_3735",2013,35,36,"2013-03-08 09:47:00","BS5688_2013","Male",13.84375,1334.815594,4631.780285,29,0.586596386,0.173945783,0.239457831,0.420765027,7.19654842945806,8.44069658397408,-48.9705,-43.51057,5.45993,2.31,2.5,-0.642345938,1,1,"no attempt"
"waal_3761",2016,38,217,"2016-01-26 07:22:00","BS5763_2016","Male",27.30208333,3983.690405,27281.65607,47,0.18237314,0.195345288,0.622281572,0.238917406,8.28996390609659,10.2139698164931,-64.30492,-45.35568,18.94924,3.13,-3.6,0.224840446,1,0,"no attempt"
"waal_3761",2016,38,221,"2016-03-26 17:08:00","BS5763_2016","Male",1.59375,84.54044095,244.8638845,6,0.732026144,0.202614379,0.065359477,0.756097561,4.43723001099918,5.50070248268721,-47.08586,-46.25023,0.835629999999995,4.36,-0.1,0.224840446,1,0,"no attempt"
"waal_3761",2016,38,218,"2016-03-06 15:39:00","BS5763_2016","Male",4.885416667,361.8350908,1657.13812,16,0.425213675,0.416666667,0.158119658,0.724907063,5.89118855775498,7.41284736941437,-49.56793,-45.74771,3.82022,4.36,-0.1,0.224840446,1,0,"no attempt"
"waal_3761",2016,38,219,"2016-03-15 19:56:00","BS5763_2016","Male",2.677083333,139.1744807,1132.631171,8,0.28125,0.515625,0.203125,0.717391304,4.93572840278903,7.03229867493264,-46.97215,-46.20232,0.769829999999999,4.36,-0.1,0.224840446,1,0,"no attempt"
"waal_3950",2011,44,500,"2011-02-01 05:35:00","BS6229_2011","Male",19.0625,2358.754925,7096.662427,60,0.540983607,0.208196721,0.250819672,0.453571429,7.7658891846509,8.86737987180261,-63.58488,-43.91189,19.67299,0.87,4.5,1.396049243,1,1,"no attempt"
